name,slug,id,url,lat,lng,top50_rank
"Cafe Restaurant Polder","cafe-restaurant-polder-19","19","https://seatsinthesun.com/terras/amsterdam/cafe-restaurant-polder-19/","","",""
"Lowlander Botanical Bar & Restaurant","lowlander-botanical-bar-restaurant-24","24","https://seatsinthesun.com/terras/amsterdam/lowlander-botanical-bar-restaurant-24/","","",""
"Bar Restaurant 1900","bar-restaurant-1900-25","25","https://seatsinthesun.com/terras/amsterdam/bar-restaurant-1900-25/","","",""
"IJ-kantine","ij-kantine-27","27","https://seatsinthesun.com/terras/amsterdam/ij-kantine-27/","","",""
"Hannekes Boom","hannekes-boom-28","28","https://seatsinthesun.com/terras/amsterdam/hannekes-boom-28/","","",""
"Pension Homeland","pension-homeland-31","31","https://seatsinthesun.com/terras/amsterdam/pension-homeland-31/","","",""
"Café Cook","cafe-cook-37","37","https://seatsinthesun.com/terras/amsterdam/cafe-cook-37/","","",""
"Bar Botanique","bar-botanique-39","39","https://seatsinthesun.com/terras/amsterdam/bar-botanique-39/","","",""
"Borisov","borisov-40","40","https://seatsinthesun.com/terras/amsterdam/borisov-40/","","",""
"De Italiaan","de-italiaan-43","43","https://seatsinthesun.com/terras/amsterdam/de-italiaan-43/","","",""
"STROOM in de Pijp","stroom-in-de-pijp-44","44","https://seatsinthesun.com/terras/amsterdam/stroom-in-de-pijp-44/","","",""
"Iets Aparts","iets-aparts-45","45","https://seatsinthesun.com/terras/amsterdam/iets-aparts-45/","","",""
"Rijnbar","rijnbar-46","46","https://seatsinthesun.com/terras/amsterdam/rijnbar-46/","","",""
"Amsterdam Marriott Hotel","amsterdam-marriott-hotel-47","47","https://seatsinthesun.com/terras/amsterdam/amsterdam-marriott-hotel-47/","","",""
"No Man's Art Gallery & de bar","no-mans-art-gallery-de-bar-49","49","https://seatsinthesun.com/terras/amsterdam/no-mans-art-gallery-de-bar-49/","","",""
"Scheepskameel","scheepskameel-52","52","https://seatsinthesun.com/terras/amsterdam/scheepskameel-52/","","",""
"Helling 7","helling-7-55","55","https://seatsinthesun.com/terras/amsterdam/helling-7-55/","","",""
"CARTER","carter-57","57","https://seatsinthesun.com/terras/amsterdam/carter-57/","","",""
"The Breakfast Club.","the-breakfast-club.-58","58","https://seatsinthesun.com/terras/amsterdam/the-breakfast-club.-58/","","",""
"The Breakfast Club","the-breakfast-club-59","59","https://seatsinthesun.com/terras/amsterdam/the-breakfast-club-59/","","",""
"The Breakfast Club","the-breakfast-club-60","60","https://seatsinthesun.com/terras/amsterdam/the-breakfast-club-60/","","",""
"The Breakfast Club","the-breakfast-club-61","61","https://seatsinthesun.com/terras/amsterdam/the-breakfast-club-61/","","",""
"Park Zuid","park-zuid-63","63","https://seatsinthesun.com/terras/amsterdam/park-zuid-63/","","",""
"Eetcafé De Rijncantine","eetcafe-de-rijncantine-65","65","https://seatsinthesun.com/terras/amsterdam/eetcafe-de-rijncantine-65/","","",""
"Café de Jaren","cafe-de-jaren-69","69","https://seatsinthesun.com/terras/amsterdam/cafe-de-jaren-69/","","",""
"IJver Amsterdam","ijver-amsterdam-73","73","https://seatsinthesun.com/terras/amsterdam/ijver-amsterdam-73/","","",""
"Badeta Koffiebranders Watergraafsmeer","badeta-koffiebranders-watergraafsmeer-75","75","https://seatsinthesun.com/terras/amsterdam/badeta-koffiebranders-watergraafsmeer-75/","","",""
"Pllek","pllek-77","77","https://seatsinthesun.com/terras/amsterdam/pllek-77/","","",""
"Oocker","oocker-81","81","https://seatsinthesun.com/terras/amsterdam/oocker-81/","","",""
"Bar Kaspar","bar-kaspar-82","82","https://seatsinthesun.com/terras/amsterdam/bar-kaspar-82/","","",""
"De Eeuwige Jeugd","de-eeuwige-jeugd-85","85","https://seatsinthesun.com/terras/amsterdam/de-eeuwige-jeugd-85/","","",""
"Café Orloff Amsterdam","cafe-orloff-amsterdam-87","87","https://seatsinthesun.com/terras/amsterdam/cafe-orloff-amsterdam-87/","","",""
"Café Restaurant Hoogendam","cafe-restaurant-hoogendam-88","88","https://seatsinthesun.com/terras/amsterdam/cafe-restaurant-hoogendam-88/","","",""
"Abbey","abbey-89","89","https://seatsinthesun.com/terras/amsterdam/abbey-89/","","",""
"Café Mads.","cafe-mads.-90","90","https://seatsinthesun.com/terras/amsterdam/cafe-mads.-90/","","",""
"Café L'Affiche","cafe-laffiche-92","92","https://seatsinthesun.com/terras/amsterdam/cafe-laffiche-92/","","",""
"Podium Mozaïek","podium-mozaiek-93","93","https://seatsinthesun.com/terras/amsterdam/podium-mozaiek-93/","","",""
"Mi-ami","mi-ami-95","95","https://seatsinthesun.com/terras/amsterdam/mi-ami-95/","","",""
"Baking Lab Amsterdam","baking-lab-amsterdam-96","96","https://seatsinthesun.com/terras/amsterdam/baking-lab-amsterdam-96/","","",""
"Liever Hier","liever-hier-97","97","https://seatsinthesun.com/terras/amsterdam/liever-hier-97/","","",""
"Vooges aan het IJ B.V.","vooges-aan-het-ij-b.v.-101","101","https://seatsinthesun.com/terras/amsterdam/vooges-aan-het-ij-b.v.-101/","","",""
