id,name,lat,lng,city_slug,category
"6197","BRASSERIE DE LINDEBOOM","52.10229030000001","6.646738300000001","eibergen","restaurant"
"5045","Bar Boas","51.687694","5.307314","s-hertogenbosch","restaurant"
"2926","Feest en Podium Cafe de Engelstede","53.20786500000001","6.650367999999999","groningen","restaurant"
"3722","IJzeren Man Vught","51.6540853","5.2594971","vught","restaurant"
"16","PAMELA","52.3659867","4.8718773","amsterdam","bar"
"4180","Cavataria","52.351185","4.863335000000001","amsterdam","restaurant_and_bar"
"2655","Grand Café & Stadsbrouwerij","51.966498","6.287242","doetinchem","restaurant"
"721","George Marina","52.34197959999999","4.9187423","amsterdam","restaurant"
"5337","Café de Sleutel","53.21898199999999","6.557840099999999","groningen","restaurant_and_bar"
"1216","Café de Wetering","52.36123300000001","4.8888745","amsterdam","restaurant"
"4517","Café Strano","51.9187497","4.4728483","rotterdam","restaurant_and_bar"
"7189","Courtyard by Marriott Amsterdam Airport","52.3212225","4.665943599999999","hoofddorp","other"
"4009","Eetcafé Rumours","52.772721","5.106707999999999","medemblik","restaurant"
"211","Gent aan de Schinkel","52.3546665","4.852994299999999","amsterdam","restaurant_and_bar"
"5763","Het Wapen van Ilpendam","52.4633333","4.9502778","ilpendam","restaurant_and_bar"
"618","Kitchen & Bar Van Rijn B.V.","52.3663868","4.8968538","amsterdam","restaurant"
"598","Café Restaurant Kerkzicht","52.3413889","4.7997222","amsterdam","restaurant"
"4720","Restaurant De Kerkbrink B.V.","52.2123989","5.2921917","baarn","restaurant"
"1269","Lebowski","52.09066980000001","5.1208959","utrecht","restaurant_and_bar"
"7173","Vincenzo's - Scheveningen","52.11088059999999","4.290069100000001","den-haag","restaurant"
"274","De Duvel","52.3548325","4.8936383","amsterdam","restaurant"
"7192","Cafe Wiesje","52.351966","4.8532574","amsterdam","restaurant"
"4128","Strandpaviljoen de strandzot","51.5058387","3.4694165","zoutelande","restaurant"
"866","Cafe Binnen Buiten","52.3547976","4.8872165","amsterdam","restaurant_and_bar"
"4687","Eetcafé Bommels","52.64031989999999","5.061201299999999","hoorn","restaurant"
"433","La Casa Di Michael","52.3843028","4.8469694","amsterdam","restaurant"
"3251","Badabing","52.0906499","5.1208863","utrecht","bar"
"1270","Bar Restaurant Walden","52.0908501","5.120775699999998","utrecht","restaurant_and_bar"
"3638","Gastrobar Blend 61","51.9698352","6.7215885","winterswijk","restaurant"
"1889","Concordia","52.1908357","5.3809667","hoogland","restaurant"
"1267","café smit & voogt","52.3673629","4.9095989","amsterdam","restaurant"
"4103","Casa Capello","52.0917656","4.302154199999999","den-haag","restaurant"
"303","Café Rock Planet","52.3717967","4.8954019","amsterdam","bar"
"4939","The Duke of Oz","52.16283869999999","4.4861334","leiden","bar"
"5223","Café De Nieuwe Lelie","52.37523300000001","4.880817","amsterdam","bar"
"4129","Strandpaviljoen De Branding","51.5021721","3.4774139","zoutelande","restaurant"
"5780","Uitspanning Goejanverwelle","52.014724","4.810379","hekendorp","restaurant"
"3169","Restaurant Broer & Ko","51.9266667","5.5733333","kesteren","restaurant"
"3926","Visser's Poffertjes","51.8151682","4.6664955","dordrecht","restaurant_and_bar"
"5588","Café Restaurant Rootz","52.0759277","4.310046199999999","den-haag","restaurant"
"1530","Café Mosa","52.0788857","4.276221299999999","den-haag","restaurant"
"1861","Restaurant Het Wapen van Harmelen","52.0916896","4.965032899999999","harmelen","restaurant"
"7159","Strandpaviljoen 't Halve Maentje","51.40529309999999","3.5366442","breskens","restaurant"
"4628","Restaurant Bi-j Siem","51.285766","5.7481459","nederweert","restaurant"
"3942","Café l'Espérance","52.15622519999999","4.485845","leiden","restaurant_and_bar"
"2996","Jantje's Steakcafé","53.22595280000001","6.5978307","groningen","restaurant"
"2960","Buckshot Café","53.2145378","6.567090400000001","groningen","restaurant_and_bar"
"7158","Breskens aan Zee","51.3986315","3.5598643","breskens","restaurant"
"2285","Restaurant Mulino","52.67295840000001","6.2857633","de-wijk","restaurant"
"3074","Watami","53.21637719999999","6.5582027","groningen","restaurant"
"7533","Restaurant 't Oale Roadhoes","52.40751650000001","6.7822475","tubbergen","restaurant"
"7753","Lilith","51.915857","4.466847999999999","rotterdam","restaurant"
"3024","Shufu Cuisine","53.235762","6.631301000000001","groningen","restaurant"
"6751","Restaurant Karakter","51.98282499999999","5.908039200000001","arnhem","restaurant"
"4555","Bar Florian","51.9822435","5.9070082","arnhem","restaurant_and_bar"
"413","Doppio Espresso Amsterdam Zuidas","52.33680769999999","4.872722599999999","amsterdam","restaurant"
"3049","Harry's Café","53.20762","6.648392899999998","groningen","restaurant_and_bar"
"4356","Café The Templar","51.8435195","5.861682399999999","nijmegen","restaurant"
"7108","Brasserie Brands","51.58162919999999","5.1993624","oisterwijk","restaurant"
